TITULO;GRATUITO;FECHA;HORA;CONTENT-URL;NOMBRE-INSTALACION;CP;TIPO
55 días en Pekín;1;27/11/2024;18:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b0a1fe7e4fa13910VgnVCM1000001d4a900aRCRD;Centro Cultural Casa del Reloj (Arganzuela);28045;CineActividadesAudiovisuales
A Christmas Carol;0;21/12/2024;19:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8d9c69718bef1910VgnVCM1000001d4a900aRCRD;Casa del Lector;28045;RecitalesPresentacionesActosLiterarios
A Traveler's Needs;0;04/12/2024;20:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=987f02a2fa0e1910VgnVCM1000001d4a900aRCRD;Centro de Cultura Contemporánea Conde Duque;28015;ProgramacionDestacadaAgendaCultura
Acción teatro;1;18/10/2024;21:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3595e7da8b822910VgnVCM1000001d4a900aRCRD;Casa del Lector;28045;RecitalesPresentacionesActosLiterarios
Acto de entrega Premio de Poesía Francisco Quevedo 2024;1;21/11/2024;22:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bde7e19c84f13910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro);28009;ConcursosCertamenes
Actuación del Coro Gospel 'Spirit to All';1;30/11/2024;23:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=46fcf124782d2910VgnVCM1000001d4a900aRCRD;Centro Cultural el Torito (Moratalaz);28030;Musica
Adornos navideños con materiales reutilizados;1;13/12/2024;0:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f076385f79ca2910VgnVCM1000001d4a900aRCRD;Centro de Educación Ambiental y Cultural Maris Stella (Usera);28026;CursosTalleres
Adornos navideños con materiales reutilizados;1;20/12/2024;1:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d24511ec62f33910VgnVCM1000001d4a900aRCRD;Centro de Educación Ambiental y Cultural Maris Stella (Usera);28026;CursosTalleres
Agrupación musical de pulso y púa Calle del Barquillo;1;30/11/2024;2:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc9cf748907f2910VgnVCM1000001d4a900aRCRD;Centro Cultural Hortaleza;28033;Musica
Aires de Irlanda;1;30/11/2024;3:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=993e9c38dc8b2910VgnVCM2000001f4a900aRCRD;Centro Cultural Ciudad Pegaso (San Blas - Canillejas);28022;Musica
Alas Rotas;1;25/11/2024;4:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c009602d204b2910VgnVCM2000001f4a900aRCRD;Centro Cultural Casa de Vacas (Retiro);28009;DanzaBaile
Alas rotas;1;29/11/2024;5:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=efd12e674f813910VgnVCM1000001d4a900aRCRD;Centro Cultural Emilia Pardo Bazán (Salamanca);28001;TeatroPerformance
Alberto Cortés «Analphabet»;0;27/02/2025;6:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=20b102a2fa0e1910VgnVCM1000001d4a900aRCRD;Centro de Cultura Contemporánea Conde Duque;28015;ProgramacionDestacadaAgendaCultura
Alimentación saludable para la vida silvestre. Comederos para aves;1;07/12/2024;7:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=019315be70332910VgnVCM1000001d4a900aRCRD;Centro de Educación Ambiental y Cultural Maris Stella (Usera);28026;CursosTalleres
Alma de Cuba en Chamartin;1;22/11/2024;8:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e27784c6b2ad810VgnVCM1000001d4a900aRCRD;Centro Cultural Nicolás Salmerón (Chamartín);28002;1ciudad21distritos
Amor y abandono;1;26/12/2024;9:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=857be6d55e423910VgnVCM2000001f4a900aRCRD;Centro Cultural Casa de Vacas (Retiro);28009;FiestasNavidadesReyes
Ángeles Toledano;0;16/01/2025;10:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=15d502a2fa0e1910VgnVCM1000001d4a900aRCRD;Centro de Cultura Contemporánea Conde Duque;28015;ProgramacionDestacadaAgendaCultura
AniClown;1;24/11/2024;11:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6989f748907f2910VgnVCM1000001d4a900aRCRD;Centro Cultural Hortaleza;28033;CircoMagia
Antía Muíño «Carta Aberta»;0;24/01/2025;12:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca1602a2fa0e1910VgnVCM1000001d4a900aRCRD;Centro de Cultura Contemporánea Conde Duque;28015;ProgramacionDestacadaAgendaCultura
Antonio Lizana Ensemble;0;21/11/2024;13:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb8a02fb90672910VgnVCM2000001f4a900aRCRD;Fernán Gómez Centro Cultural de la Villa;28001;Musica/JazzSoulFunkySwingReagge
Antonio Palacios. Un álbum de ciudad;1;21/10/2024;14:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dfa4385f79ca2910VgnVCM1000001d4a900aRCRD;Museo de Historia de Madrid;28004;Exposiciones
Aprende a usar el GPS y LENS;1;13/12/2024;15:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c58a3ef805a23910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal San Fermín (Usera);28041;CursosTalleres/CapacitacionDigital
Aquí no hay quien muera;1;22/11/2024;16:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4fc15fce408d2910VgnVCM2000001f4a900aRCRD;Centro Cultural José Luis Sampedro (Latina);28047;Musica
Archipiélago;0;20/12/2024;17:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d678cd687a503910VgnVCM1000001d4a900aRCRD;Cineteca Madrid;28045;ProgramacionDestacadaAgendaCultura
Archipiélago;0;24/11/2024;18:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d17d4af33ab03910VgnVCM1000001d4a900aRCRD;Cineteca Madrid;28045;ProgramacionDestacadaAgendaCultura
Audición alumnos de piano y violín del Centro Musical Grappelli;1;30/11/2024;19:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=589f5613fdf0f810VgnVCM2000001f4a900aRCRD;Centro Cultural Sara Montiel (Latina);28024;Musica
Autodefensa feminista. Actividad conjunta 25N Red de Espacios de Igualdad;1;20/11/2024;20:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9b67d466d8cd2910VgnVCM1000001d4a900aRCRD;Nave de Terneras del Centro Cultural Casa del Reloj;28045;CursosTalleres
Bailando por derecho;1;25/11/2024;21:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=198be6d55e423910VgnVCM2000001f4a900aRCRD;Centro Cultural Casa del Reloj (Arganzuela);28045;DanzaBaile/Flamenco
Baile de Mayores en Centro Cultural Almirante Churruca;1;04/10/2024;22:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=beaf2f9cb66d1610VgnVCM2000001f4a900aRCRD;Centro Sociocultural Almirante Churruca (Latina);28024;DanzaBaile
Baile de Mayores en Centro Sociocultural El Greco;1;03/10/2024;23:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=77922f9cb66d1610VgnVCM2000001f4a900aRCRD;Centro Sociocultural El Greco (Latina);28011;DanzaBaile
Bailes y música tradicionales de Madrid.;1;29/11/2024;0:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=83441df10d7d2910VgnVCM1000001d4a900aRCRD;Centro Cultural - Centro Socio Cultural Villa de Barajas;28042;DanzaBaile
Bajo otras miradas;1;20/11/2024;1:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=841e7da10e642910VgnVCM1000001d4a900aRCRD;Centro Cultural Casa del Reloj (Arganzuela);28045;ConferenciasColoquios
Barney Kessel Tribute Quintet;1;23/11/2024;2:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1d77e2f7e8a92910VgnVCM2000001f4a900aRCRD;Centro Cultural San Juan Bautista (Ciudad Lineal);28043;Musica/JazzSoulFunkySwingReagge
Beatriz Galindo Estocolmo;1;29/11/2024;3:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=43a4f748907f2910VgnVCM1000001d4a900aRCRD;Centro Sociocultural Alberto Sánchez (Puente de Vallecas);28038;TeatroPerformance
Benito Ruzzo;1;06/12/2024;4:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f5511ec62f33910VgnVCM1000001d4a900aRCRD;Centro Cultural Antonio Machado (San Blas - Canillejas);28037;TeatroPerformance
Bernice;0;29/10/2024;5:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1d50e2fc6e6c1910VgnVCM1000001d4a900aRCRD;Teatro Español;28012;TeatroPerformance
Biblioajedrez;1;30/09/2024;6:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=37340defdf5e1910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Ángel González (Latina);28024;CursosTalleres
Biodiversidad urbana y cómo ayudarla: charla y senda;1;29/11/2024;7:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3aae399d83343910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;CursosTalleres
Blondi;1;30/11/2024;8:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=36266a5d60ea2910VgnVCM1000001d4a900aRCRD;Centro Cultural Buero Vallejo (San Blas - Canillejas);28022;CineActividadesAudiovisuales
Bobo - Periferia Teatro (Región de Murcia);1;30/12/2024;9:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=122611cfc7bf2910VgnVCM2000001f4a900aRCRD;Teatro Municipal de Títeres. Parque de El Retiro;28009;CuentacuentosTiteresMarionetas
Bodegón con fantasmas;0;22/11/2024;10:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=644d4af33ab03910VgnVCM1000001d4a900aRCRD;Cineteca Madrid;28045;ProgramacionDestacadaAgendaCultura
Boris Charmatz 'Somnole' / Foco Boris Charmatz;0;20/02/2025;11:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e4102a2fa0e1910VgnVCM1000001d4a900aRCRD;Centro de Cultura Contemporánea Conde Duque;28015;ProgramacionDestacadaAgendaCultura
Calderón todo lo abarca;1;23/11/2024;12:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d369f748907f2910VgnVCM1000001d4a900aRCRD;Centro Cultural Hortaleza;28033;TeatroPerformance
Campamento de competencias digitales (9 a 12 años);1;14/01/2025;13:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f2c616630bac0910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Gabriel García Márquez (Usera);28041;CursosTalleres/CapacitacionDigital
Campamento urbano de Navidad 2024 - 2025. Distrito de Moratalaz;1;23/12/2024;14:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a58fa84e11a82910VgnVCM1000001d4a900aRCRD;Colegio Público Menéndez Pidal;28030;Campamentos
Canciones de Nápoles a Buenos Aires;1;23/11/2024;15:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=de26620b2ddb2910VgnVCM1000001d4a900aRCRD;Centro Cultural Emilia Pardo Bazán (Salamanca);28001;Musica
Canciones que tocan el alma;1;30/11/2024;16:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b8e3e86bd0d2910VgnVCM1000001d4a900aRCRD;Centro Sociocultural Oporto (Carabanchel);28019;Musica
Cántame un cuento;0;30/11/2024;17:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a36911ec62f33910VgnVCM1000001d4a900aRCRD;Matadero Madrid;28045;DanzaBaile
Capítulo XVIII: Comer y sonar (un banquete musical);0;18/12/2024;18:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0a3efe7e4fa13910VgnVCM1000001d4a900aRCRD;Cineteca Madrid;28045;ProgramacionDestacadaAgendaCultura
Capítulo XVII: Música numérica (matemática sonora);0;27/11/2024;19:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4e68df6500f82910VgnVCM1000001d4a900aRCRD;Cineteca Madrid;28045;CineActividadesAudiovisuales
Carlos Núñez;0;18/01/2025;20:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=983e13b2aa003910VgnVCM2000001f4a900aRCRD;Teatro Circo Price;28012;ProgramacionDestacadaAgendaCultura
Carmen de Bizet;1;22/11/2024;21:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=419c6829a92d2910VgnVCM2000001f4a900aRCRD;Centro Cultural Lope de Vega (Puente de Vallecas);28053;Musica
"Carol Dubois &amp; Juan Peñaloza";1;29/11/2024;22:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d597e2f7e8a92910VgnVCM2000001f4a900aRCRD;Centro Cultural San Juan Bautista (Ciudad Lineal);28043;Musica/JazzSoulFunkySwingReagge
Cartas a la Luna;1;30/11/2024;23:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=485f365177e33910VgnVCM1000001d4a900aRCRD;Centro Cultural Clara del Rey - Museo ABC (Centro);28015;TeatroPerformance
Castañueleando;1;22/11/2024;0:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c374bd7742f82910VgnVCM2000001f4a900aRCRD;Centro Sociocultural Francisco Fatou (Villa de Vallecas);28031;DanzaBaile
Celeste encuentra un hogar;1;24/11/2024;1:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b03861d05c6f2910VgnVCM1000001d4a900aRCRD;Centro Cultural Carril del Conde (Hortaleza);28043;CuentacuentosTiteresMarionetas
Charla Autocuidados: `Duelo y Navidad´;1;17/12/2024;2:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4aa4f569eba23910VgnVCM2000001f4a900aRCRD;Centro Sociocultural Bohemios (Villaverde);28041;ConferenciasColoquios
Charlas de historia: ciudades mayas;1;22/11/2024;3:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b5eac6a8c9882910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Ana María Matute (Carabanchel);28019;ConferenciasColoquios
Charla-Taller: Conocer la miel;1;23/11/2024;4:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=99e107832e3b2910VgnVCM1000001d4a900aRCRD;Centro de Información y Educación Ambiental El Huerto de El Retiro;28009;CursosTalleres
Chéjov VS Quintero;1;30/11/2024;5:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=acff63439d662910VgnVCM2000001f4a900aRCRD;Centro Cultural la Elipa (Ciudad Lineal);28017;ProgramacionDestacadaAgendaCultura
"Chicuelo &amp; Marco Mezquida";0;29/01/2025;6:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d1b7a32fa9322910VgnVCM1000001d4a900aRCRD;Teatro Circo Price;28012;ProgramacionDestacadaAgendaCultura
Ciclo de Conferencias de Arte e Historia;1;06/11/2024;7:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=27d37dc5a1a92910VgnVCM2000001f4a900aRCRD;Centro Sociocultural Bohemios (Villaverde);28041;ConferenciasColoquios/Historia
Ciclo de Conferencias:  Arte e Historia;1;04/12/2024;8:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6474e18b8ca23910VgnVCM1000001d4a900aRCRD;Centro Sociocultural Bohemios (Villaverde);28041;ConferenciasColoquios/Historia
Ciclo de humor: 'Coria Castillo'.;1;30/11/2024;9:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e4197e3ef2c2910VgnVCM2000001f4a900aRCRD;Centro Sociocultural Tetuán;28020;TeatroPerformance
Ciclo de humor: 'Juan Aroca'.;1;23/11/2024;10:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b43197e3ef2c2910VgnVCM2000001f4a900aRCRD;Centro Sociocultural Tetuán;28020;TeatroPerformance
Cine en Compañía: 'Figuras ocultas';1;28/11/2024;11:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4f245d6a3a051910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal San Fermín (Usera);28041;CineActividadesAudiovisuales
Cine y cómic: adaptaciones imprescindibles. Adapta Book Madrid;1;28/11/2024;12:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=49eb35056c503910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;CursosTalleres
Cinefórum 25N: La habitación;1;28/11/2024;13:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=391d417016603910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Francisco Ayala (Vicálvaro);28032;CineActividadesAudiovisuales
Cinefórum en la Biblioteca La Elipa;1;26/09/2024;14:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=15fdcbdbc3200910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal La Elipa (Ciudad Lineal);28017;CineActividadesAudiovisuales
Cinefórum en la Biblioteca Mario Vargas Llosa. 'El fantasma y la señora Muir' (The ghost and Mrs. Muir);1;22/11/2024;15:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=df533f11c1102910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Mario Vargas Llosa (Centro);28004;CineActividadesAudiovisuales
Cineforum Madrid Salud: ?Más allá de la muerte?;1;25/11/2024;16:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f81ffa6605602910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Mario Vargas Llosa (Centro);28004;CineActividadesAudiovisuales
Cinefórum: 'Coco';1;26/11/2024;17:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7037f90719423910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal San Fermín (Usera);28041;CineActividadesAudiovisuales
CineuÁm: Arquitectura Emocional;0;26/11/2024;18:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a51c6fe2af402910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro);28009;CineActividadesAudiovisuales
CineuÁm: El camino;0;10/12/2024;19:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa3c6fe2af402910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro);28009;CineActividadesAudiovisuales
Cine: Ciclo 'EL SPIELBERG MENOS CONOCIDO';1;08/11/2024;20:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e946694cc2dd2910VgnVCM1000001d4a900aRCRD;Centro Cultural La Vaguada (Fuencarral - El Pardo);28029;CineActividadesAudiovisuales
Cine: El golpe;1;22/11/2024;21:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4363cd2223822910VgnVCM2000001f4a900aRCRD;Junta Municipal del Distrito de Usera;28026;CineActividadesAudiovisuales
Claire Rousay + Bianca Scout;0;07/02/2025;22:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=235602a2fa0e1910VgnVCM1000001d4a900aRCRD;Centro de Cultura Contemporánea Conde Duque;28015;ProgramacionDestacadaAgendaCultura
Claudette;1;29/11/2024;23:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5717f4a59f4f2910VgnVCM2000001f4a900aRCRD;Centro Cultural el Torito (Moratalaz);28030;TeatroPerformance
Claudette en Chamartín;1;30/11/2024;0:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6ab9676e5c21910VgnVCM1000001d4a900aRCRD;Centro Cultural Nicolás Salmerón (Chamartín);28002;1ciudad21distritos
Claudette - Moratalaz;1;29/11/2024;1:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7993a42d87b21910VgnVCM1000001d4a900aRCRD;Centro Cultural el Torito (Moratalaz);28030;1ciudad21distritos
Claudia Pumarega;1;22/11/2024;2:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3c0c5bebd58d2910VgnVCM2000001f4a900aRCRD;Centro Sociocultural Rosario de Acuña (Latina);28011;Musica
Club 33. Tributo a Mecano;1;27/11/2024;3:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=909b572f86443910VgnVCM1000001d4a900aRCRD;Centro Cultural Eduardo Úrculo (Tetuán);28029;Musica
Club de lectura;0;05/10/2024;4:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5765e7da8b822910VgnVCM1000001d4a900aRCRD;Casa del Lector;28045;RecitalesPresentacionesActosLiterarios
Club de lectura;1;04/11/2024;5:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e1b3ae3a19a23910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal La Chata (Carabanchel);28025;ClubesLectura
Club de lectura;1;27/09/2024;6:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a0fd177728c21910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Vallecas (Puente de Vallecas);28053;ClubesLectura
Club de lectura de autor 'Mía' de Miguel Dueñas;1;25/11/2024;7:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8457470052eb2910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Francisco Ayala (Vicálvaro);28032;ClubesLectura
